time,open,high,low,close,bar_index
1672815600,13.835,14.2,13.703,14.109,79
1672819200,14.109,14.111,13.668,13.7,80
1672822800,13.699,13.783,13.53,13.73,81
1672826400,13.731,13.772,13.525,13.586,82
1672830000,13.585,13.736,13.568,13.629,83
1672833600,13.629,13.723,13.37,13.405,84
1672837200,13.406,13.561,13.403,13.486,85
1672840800,13.487,13.509,13.238,13.46,86
1672844400,13.459,13.517,13.15,13.352,87
1672848000,13.352,13.632,13.253,13.414,88
1672851600,13.413,13.558,13.333,13.419,89
1672855200,13.419,13.509,13.362,13.372,90
1672858800,13.372,13.46,13.044,13.177,91
1672862400,13.178,13.206,12.813,12.985,92
1672866000,12.986,13.148,12.985,13.13,93
1672869600,13.13,13.52,13.13,13.462,94
1672873200,13.462,13.585,13.361,13.405,95
1672876800,13.404,13.42,13.135,13.151,96
1672880400,13.151,13.3,13.031,13.208,97
1672884000,13.208,13.342,13.093,13.269,98
1672887600,13.268,13.278,13.114,13.209,99
1672891200,13.208,13.482,13.202,13.34,100
1672894800,13.339,13.409,13.26,13.296,101
1672898400,13.298,13.343,13.128,13.18,102
1672902000,13.18,13.271,13.117,13.237,103
1672905600,13.237,13.27,13.107,13.168,104
1672909200,13.168,13.182,12.927,13.026,105
1672912800,13.027,13.233,13.023,13.192,106
1672916400,13.191,13.31,13.121,13.255,107
1672920000,13.255,13.336,13.187,13.213,108
1672923600,13.214,13.23,13.076,13.096,109
1672927200,13.096,13.212,13.027,13.157,110
1672930800,13.158,13.395,13.144,13.291,111
1672934400,13.291,13.312,13.121,13.167,112
1672938000,13.167,13.195,13.048,13.088,113
1672941600,13.087,13.223,13.056,13.21,114
1672945200,13.209,13.47,13.202,13.388,115
1672948800,13.388,13.781,13.387,13.641,116
1672952400,13.642,13.654,13.384,13.465,117
1672956000,13.466,13.491,13.33,13.392,118
1672959600,13.392,13.506,13.339,13.418,119
1672963200,13.417,13.559,13.27,13.483,120
1672966800,13.483,13.505,13.353,13.373,121
1672970400,13.373,13.397,13.159,13.196,122
1672974000,13.196,13.26,13.133,13.186,123
1672977600,13.187,13.24,13.08,13.231,124
1672981200,13.231,13.24,13.116,13.18,125
1672984800,13.18,13.236,13.073,13.117,126
1672988400,13.117,13.146,13.01,13.109,127
1672992000,13.109,13.232,13.097,13.166,128
1672995600,13.165,13.166,13.01,13.138,129
1672999200,13.138,13.165,12.92,12.998,130
1673002800,12.999,13.055,12.833,12.984,131
1673006400,12.984,13.014,12.884,12.913,132
1673010000,12.912,13.084,12.644,12.959,133
1673013600,12.959,13.078,12.89,12.988,134
1673017200,12.989,13.189,12.989,13.173,135
1673020800,13.173,13.3,13.045,13.184,136
1673024400,13.184,13.232,13.113,13.187,137
1673028000,13.186,13.419,13.184,13.309,138
1673031600,13.31,13.4,13.263,13.353,139
1673035200,13.355,13.385,13.149,13.219,140
1673038800,13.22,13.3,13.197,13.246,141
1673042400,13.245,13.38,13.224,13.36,142
1673046000,13.36,13.585,13.324,13.483,143
1673049600,13.484,13.49,13.317,13.441,144
1673053200,13.442,13.472,13.274,13.298,145
1673056800,13.298,13.409,13.263,13.304,146
1673060400,13.303,13.34,13.265,13.315,147
1673064000,13.315,13.316,13.22,13.224,148
1673067600,13.224,13.318,13.192,13.302,149
1673071200,13.301,13.325,13.217,13.234,150
1673074800,13.235,13.309,13.203,13.288,151
1673078400,13.288,13.315,13.12,13.153,152
1673082000,13.153,13.222,13.12,13.192,153
1673085600,13.192,13.22,13.123,13.163,154
1673089200,13.162,13.195,13.12,13.137,155
1673092800,13.138,13.209,13.125,13.168,156
1673096400,13.167,13.27,13.166,13.191,157
1673100000,13.19,13.242,13.145,13.24,158
1673103600,13.24,13.273,13.208,13.257,159
1673107200,13.256,13.267,13.164,13.193,160
1673110800,13.193,13.239,13.167,13.202,161
1673114400,13.201,13.231,13.181,13.218,162
1673118000,13.219,13.226,13.179,13.212,163
1673121600,13.212,13.239,13.156,13.187,164
1673125200,13.187,13.189,13.143,13.163,165
1673128800,13.163,13.164,13.012,13.03,166
1673132400,13.03,13.096,13.01,13.087,167
1673136000,13.086,13.139,12.834,12.901,168
1673139600,12.902,13.24,12.88,13.176,169
1673143200,13.176,13.358,13.155,13.341,170
1673146800,13.341,13.399,13.26,13.361,171
1673150400,13.36,13.428,13.25,13.269,172
1673154000,13.269,13.319,13.259,13.309,173
1673157600,13.308,13.317,13.265,13.277,174
1673161200,13.276,13.348,13.248,13.317,175
1673164800,13.317,13.676,13.26,13.593,176
1673168400,13.593,13.78,13.474,13.506,177
1673172000,13.506,13.67,13.489,13.515,178
1673175600,13.515,13.564,13.495,13.496,179
1673179200,13.497,13.515,13.423,13.465,180
1673182800,13.465,13.579,13.439,13.559,181
1673186400,13.559,13.9,13.55,13.812,182
1673190000,13.812,13.934,13.683,13.86,183
1673193600,13.859,13.89,13.627,13.673,184
1673197200,13.674,13.729,13.448,13.546,185
1673200800,13.544,13.563,13.445,13.527,186
1673204400,13.527,13.55,13.482,13.529,187
1673208000,13.528,13.81,13.509,13.744,188
1673211600,13.744,13.846,13.674,13.725,189
1673215200,13.725,13.81,13.673,13.704,190
1673218800,13.703,15.489,13.703,14.465,191
1673222400,14.464,15.024,14.256,14.957,192
1673226000,14.957,16.146,14.712,15.456,193
1673229600,15.458,16.78,15.423,15.983,194
1673233200,15.983,16.212,15.908,16.048,195
1673236800,16.049,16.387,16.044,16.233,196
1673240400,16.234,16.544,16.068,16.091,197
1673244000,16.092,16.234,15.924,15.993,198
1673247600,15.995,16.54,15.993,16.348,199
1673251200,16.348,16.71,16.092,16.101,200
1673254800,16.102,16.38,16.085,16.32,201
1673258400,16.319,16.591,16.259,16.391,202
1673262000,16.39,16.836,16.29,16.362,203
1673265600,16.361,16.443,16.254,16.354,204
1673269200,16.354,16.724,16.25,16.375,205
1673272800,16.376,16.5,16,16.464,206
1673276400,16.464,17.5,16.428,17.13,207
1673280000,17.129,17.364,16.707,16.772,208
1673283600,16.773,16.965,16.594,16.785,209
1673287200,16.785,16.951,16.412,16.496,210
1673290800,16.497,16.632,16.232,16.288,211
1673294400,16.288,16.488,16.086,16.381,212
1673298000,16.38,16.684,16.243,16.352,213
1673301600,16.353,16.58,16.306,16.321,214
1673305200,16.322,16.331,16.013,16.253,215
1673308800,16.253,16.575,16.247,16.574,216
1673312400,16.574,16.586,16.144,16.227,217
1673316000,16.227,16.333,15.567,15.755,218
1673319600,15.755,16,15.69,15.969,219
1673323200,15.968,16.109,15.863,16.103,220
1673326800,16.103,16.183,15.971,16.174,221
1673330400,16.175,16.3,15.946,16.048,222
